Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::blas_traits<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::extractScalarFactor(Eigen::Matrix<float, -1, -1, 0, -1, -1> const&)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::blas_traits<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::extract(Eigen::Matrix<float, -1, -1, 0, -1, -1> const&)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::gebp_kernel<float, float, long, Eigen::internal::blas_data_mapper<float, long, 0, 0>, 8, 4, false, false>::operator()(Eigen::internal::blas_data_mapper<float, long, 0, 0> const&, float const*, float const*, long, long, long, float, long, long, long, long)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::add_assign_op<float, float>::add_assign_op()
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::gemm_pack_lhs<float, long, Eigen::internal::const_blas_data_mapper<float, long, 1>, 8, 4, 1, false, false>::operator()(float*, Eigen::internal::const_blas_data_mapper<float, long, 1> const&, long, long, long, long)
  0.00      3.86     0.00        4     0.00     0.00  void Eigen::internal::aligned_delete<float>(float*, unsigned long)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::evaluator_base<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::evaluator_base()
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::evaluator_base<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::~evaluator_base()
  0.00      3.86     0.00        4     0.00     0.00  void Eigen::internal::call_assignment<Eigen::Matrix<float, -1, -1, 0, -1, -1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > >(Eigen::Matrix<float, -1, -1, 0, -1, -1>&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const&)
  0.00      3.86     0.00        4     0.00     0.00  void Eigen::internal::call_assignment<Eigen::Matrix<float, -1, -1, 0, -1, -1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::assign_op<float, float> >(Eigen::Matrix<float, -1, -1, 0, -1, -1>&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const&, Eigen::internal::assign_op<float, float> const&, Eigen::internal::enable_if<!Eigen::internal::evaluator_assume_aliasing<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator_traits<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::Shape>::value, void*>::type)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::level3_blocking<float, float>::blockA()
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::level3_blocking<float, float>::blockB()
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::unary_evaluator<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::IndexBased, float>::unary_evaluator(Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > const&)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::unary_evaluator<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::IndexBased, float>::~unary_evaluator()
  0.00      3.86     0.00        4     0.00     0.00  void Eigen::internal::resize_if_allowed<Eigen::Matrix<float, -1, -1, 0, -1, -1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> >, float, float>(Eigen::Matrix<float, -1, -1, 0, -1, -1>&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const&, Eigen::internal::assign_op<float, float> const&)
  0.00      3.86     0.00        4     0.00     0.00  void Eigen::internal::check_for_aliasing<Eigen::Matrix<float, -1, -1, 0, -1, -1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > >(Eigen::Matrix<float, -1, -1, 0, -1, -1> const&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const&)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::scalar_difference_op<float, float>::scalar_difference_op(Eigen::internal::scalar_difference_op<float, float> const&)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::dense_assignment_loop<Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > >, Eigen::internal::assign_op<float, float>, 0>, 3, 0>::run(Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > >, Eigen::internal::assign_op<float, float>, 0>&)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::evaluator_wrapper_base<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::evaluator_wrapper_base(Eigen::Matrix<float, -1, -1, 0, -1, -1> const&)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::evaluator_wrapper_base<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::~evaluator_wrapper_base()
  0.00      3.86     0.00        4     0.00     0.00  void Eigen::internal::call_assignment_no_alias<Eigen::Matrix<float, -1, -1, 0, -1, -1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::assign_op<float, float> >(Eigen::Matrix<float, -1, -1, 0, -1, -1>&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const&, Eigen::internal::assign_op<float, float> const&)
  0.00      3.86     0.00        4     0.00     0.00  void Eigen::internal::call_dense_assignment_loop<Eigen::Matrix<float, -1, -1, 0, -1, -1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::assign_op<float, float> >(Eigen::Matrix<float, -1, -1, 0, -1, -1>&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const&, Eigen::internal::assign_op<float, float> const&)
  0.00      3.86     0.00        4     0.00     0.00  void Eigen::internal::destruct_elements_of_array<float>(float*, unsigned long)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::checkTransposeAliasing_impl<Eigen::Matrix<float, -1, -1, 0, -1, -1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> >, false>::run(Eigen::Matrix<float, -1, -1, 0, -1, -1> const&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const&)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::aligned_stack_memory_handler<float>::aligned_stack_memory_handler(float*, unsigned long, bool)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::aligned_stack_memory_handler<float>::~aligned_stack_memory_handler()
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > >, Eigen::internal::assign_op<float, float>, 0>::generic_dense_assignment_kernel(Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >&, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > > const&, Eigen::internal::assign_op<float, float> const&, Eigen::Matrix<float, -1, -1, 0, -1, -1>&)
  0.00      3.86     0.00        4     0.00     0.00  void Eigen::internal::unaligned_dense_assignment_loop<false>::run<Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > >, Eigen::internal::assign_op<float, float>, 0> >(Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > >, Eigen::internal::assign_op<float, float>, 0>&, long, long)
  0.00      3.86     0.00        4     0.00     0.00  void Eigen::internal::unaligned_dense_assignment_loop<true>::run<Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > >, Eigen::internal::assign_op<float, float>, 0> >(Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > >, Eigen::internal::assign_op<float, float>, 0>&, long, long)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> const>::evaluator(Eigen::Matrix<float, -1, -1, 0, -1, -1> const&)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> const>::~evaluator()
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::evaluator<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::evaluator(Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > const&)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::evaluator<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::~evaluator()
  0.00      3.86     0.00        4     0.00     0.00  Eigen::ArrayBase<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::ArrayBase()
  0.00      3.86     0.00        4     0.00     0.00  Eigen::DenseBase<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::DenseBase()
  0.00      3.86     0.00        4     0.00     0.00  Eigen::DenseBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::setConstant(float const&)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::DenseBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::setZero()
  0.00      3.86     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::__normal_iterator(std::vector<int, std::allocator<int> >* const&)
  0.00      3.86     0.00        4     0.00     0.00  Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::nestedExpression() const
  0.00      3.86     0.00        4     0.00     0.00  Eigen::DenseStorage<float, -1, 1, -1, 1>::data() const
  0.00      3.86     0.00        4     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::coeffRef(long, long) const
  0.00      3.86     0.00        4     0.00     0.00  Eigen::PartialReduxExpr<Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::internal::member_maxCoeff<float>, 0>::cols() const
  0.00      3.86     0.00        4     0.00     0.00  Eigen::PartialReduxExpr<Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::internal::member_maxCoeff<float>, 0>::rows() const
  0.00      3.86     0.00        4     0.00     0.00  Eigen::PartialReduxExpr<Eigen::Matrix<float, -1, -1, 0, -1, -1>, Eigen::internal::member_sum<float>, 0>::rows() const
  0.00      3.86     0.00        4     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > >, Eigen::internal::assign_op<float, float>, 0>::size() const
  0.00      3.86     0.00        4     0.00     0.00  Eigen::EigenBase<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::const_cast_derived() const
  0.00      3.86     0.00        4     0.00     0.00  Eigen::EigenBase<Eigen::Array<float, 1, -1, 1, 1, -1> >::derived() const
  0.00      3.86     0.00        4     0.00     0.00  Eigen::EigenBase<Eigen::Product<Eigen::Transpose<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::Matrix<float, -1, -1, 0, -1, -1>, 0> >::derived() const
  0.00      3.86     0.00        4     0.00     0.00  Eigen::EigenBase<Eigen::Transpose<Eigen::Matrix<float, -1, -1, 0, -1, -1> const> >::derived() const
  0.00      3.86     0.00        4     0.00     0.00  Eigen::Transpose<Eigen::Matrix<float, -1, -1, 0, -1, -1> const>::nestedExpression() const
  0.00      3.86     0.00        4     0.00     0.00  Eigen::Transpose<Eigen::Matrix<float, -1, -1, 0, -1, -1> const>::cols() const
  0.00      3.86     0.00        4     0.00     0.00  Eigen::Transpose<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::nestedExpression() const
  0.00      3.86     0.00        4     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator() const
  0.00      3.86     0.00        4     0.00     0.00  std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const
  0.00      3.86     0.00        4     0.00     0.00  std::chrono::duration<float, std::ratio<1l, 1000l> >::count() const
  0.00      3.86     0.00        4     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::max_size() const
  0.00      3.86     0.00        4     0.00     0.00  float* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<float>(float const*, float const*, float*)
  0.00      3.86     0.00        4     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      3.86     0.00        4     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_deallocate(std::vector<int, std::allocator<int> >*, unsigned long)
  0.00      3.86     0.00        4     0.00     0.00  std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::max_size(std::allocator<std::vector<int, std::allocator<int> > > const&)
  0.00      3.86     0.00        4     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<std::vector<int, std::allocator<int> >*>, std::vector<int, std::allocator<int> >*>(std::move_iterator<std::vector<int, std::allocator<int> >*>, std::move_iterator<std::vector<int, std::allocator<int> >*>, std::vector<int, std::allocator<int> >*)
  0.00      3.86     0.00        4     0.00     0.00  float* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<float*>, float*>(std::move_iterator<float*>, std::move_iterator<float*>, float*)
  0.00      3.86     0.00        4     0.00     0.00  float* std::vector<float, std::allocator<float> >::_M_allocate_and_copy<std::move_iterator<float*> >(unsigned long, std::move_iterator<float*>, std::move_iterator<float*>)
  0.00      3.86     0.00        4     0.00     0.00  float* std::__copy_move_a<true, float*, float*>(float*, float*, float*)
  0.00      3.86     0.00        4     0.00     0.00  float* std::__copy_move_a2<true, float*, float*>(float*, float*, float*)
  0.00      3.86     0.00        4     0.00     0.00  std::vector<int, std::allocator<int> >* std::uninitialized_copy<std::move_iterator<std::vector<int, std::allocator<int> >*>, std::vector<int, std::allocator<int> >*>(std::move_iterator<std::vector<int, std::allocator<int> >*>, std::move_iterator<std::vector<int, std::allocator<int> >*>, std::vector<int, std::allocator<int> >*)
  0.00      3.86     0.00        4     0.00     0.00  float* std::uninitialized_copy<std::move_iterator<float*>, float*>(std::move_iterator<float*>, std::move_iterator<float*>, float*)
  0.00      3.86     0.00        4     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_copy_a<std::move_iterator<std::vector<int, std::allocator<int> >*>, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(std::move_iterator<std::vector<int, std::allocator<int> >*>, std::move_iterator<std::vector<int, std::allocator<int> >*>, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      3.86     0.00        4     0.00     0.00  float* std::__uninitialized_copy_a<std::move_iterator<float*>, float*, float>(std::move_iterator<float*>, std::move_iterator<float*>, float*, std::allocator<float>&)
  0.00      3.86     0.00        4     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_move_if_noexcept_a<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      3.86     0.00        4     0.00     0.00  float* std::copy<std::move_iterator<float*>, float*>(std::move_iterator<float*>, std::move_iterator<float*>, float*)
  0.00      3.86     0.00        4     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      3.86     0.00        4     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      3.86     0.00        4     0.00     0.00  bool std::operator==<std::vector<int, std::allocator<int> >*>(std::move_iterator<std::vector<int, std::allocator<int> >*> const&, std::move_iterator<std::vector<int, std::allocator<int> >*> const&)
  0.00      3.86     0.00        4     0.00     0.00  bool std::operator!=<std::vector<int, std::allocator<int> >*>(std::move_iterator<std::vector<int, std::allocator<int> >*> const&, std::move_iterator<std::vector<int, std::allocator<int> >*> const&)
  0.00      3.86     0.00        3     0.00     0.01  ReLU::forward(Eigen::Matrix<float, -1, -1, 0, -1, -1> const&)
  0.00      3.86     0.00        3     0.00     0.00  ReLU::ReLU()
  0.00      3.86     0.00        3     0.00     0.00  ReLU::~ReLU()
  0.00      3.86     0.00        3     0.00     0.00  ReLU::~ReLU()
  0.00      3.86     0.00        3     0.00     0.00  Eigen::MatrixBase<Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const> >::MatrixBase()
  0.00      3.86     0.00        3     0.00     0.00  Eigen::VectorwiseOp<Eigen::Matrix<float, -1, -1, 0, -1, -1>, 0>::VectorwiseOp(Eigen::Matrix<float, -1, -1, 0, -1, -1>&)
  0.00      3.86     0.00        3     0.00     0.00  Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const>::CwiseBinaryOp(Eigen::Matrix<float, -1, -1, 0, -1, -1> const&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const&, Eigen::internal::scalar_max_op<float, float> const&)
  0.00      3.86     0.00        3     0.00     0.00  Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> >::CwiseNullaryOp(Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const&)
  0.00      3.86     0.00        3     0.00     0.01  Eigen::Matrix<float, -1, -1, 0, -1, -1>& Eigen::PlainObjectBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::_set<Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const> >(Eigen::DenseBase<Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const> > const&)
  0.00      3.86     0.00        3     0.00     0.00  Eigen::CwiseBinaryOpImpl<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const, Eigen::Dense>::CwiseBinaryOpImpl()
  0.00      3.86     0.00        3     0.00     0.01  Eigen::Matrix<float, -1, -1, 0, -1, -1>& Eigen::Matrix<float, -1, -1, 0, -1, -1>::operator=<Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const> >(Eigen::DenseBase<Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const> > const&)
  0.00      3.86     0.00        3     0.00     0.01  Eigen::internal::Assignment<Eigen::Matrix<float, -1, -1, 0, -1, -1>, Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const>, Eigen::internal::assign_op<float, float>, Eigen::internal::Dense2Dense, void>::run(Eigen::Matrix<float, -1, -1, 0, -1, -1>&, Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const> const&, Eigen::internal::assign_op<float, float> const&)
  0.00      3.86     0.00        3     0.00     0.00  Eigen::internal::member_sum<float>::member_sum(Eigen::internal::member_sum<float> const&)
  0.00      3.86     0.00        3     0.00     0.00  Eigen::internal::gemm_pack_rhs<float, long, Eigen::internal::const_blas_data_mapper<float, long, 0>, 4, 0, false, false>::operator()(float*, Eigen::internal::const_blas_data_mapper<float, long, 0> const&, long, long, long, long)
  0.00      3.86     0.00        3     0.00     0.00  Eigen::internal::evaluator_base<Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const> >::evaluator_base()
  0.00      3.86     0.00        3     0.00     0.00  Eigen::internal::evaluator_base<Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const> >::~evaluator_base()
  0.00      3.86     0.00        3     0.00     0.01  void Eigen::internal::call_assignment<Eigen::Matrix<float, -1, -1, 0, -1, -1>, Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const> >(Eigen::Matrix<float, -1, -1, 0, -1, -1>&, Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const> const&)
  0.00      3.86     0.00        3     0.00     0.01  void Eigen::internal::call_assignment<Eigen::Matrix<float, -1, -1, 0, -1, -1>, Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const>, Eigen::internal::assign_op<float, float> >(Eigen::Matrix<float, -1, -1, 0, -1, -1>&, Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const> const&, Eigen::internal::assign_op<float, float> const&, Eigen::internal::enable_if<!Eigen::internal::evaluator_assume_aliasing<Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const>, Eigen::internal::evaluator_traits<Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const> >::Shape>::value, void*>::type)
  0.00      3.86     0.00        3     0.00     0.00  Eigen::internal::binary_evaluator<Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const>, Eigen::internal::IndexBased, Eigen::internal::IndexBased, float, float>::binary_evaluator(Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const> const&)
